Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAR,TS%,effectivefieldgoal,offensiveturnover,offrebound,offensefreethrow,deffectivefieldgoal,defensiveturnover,defensiverebound,defensefreethrow
1,Phoenix Suns,27.5,62,15,57,20,8.18,-0.47,7.71,115.3,107.1,8.2,99.7,0.227,0.352,0.585,0.553,11.6,22.2,0.181,0.508,13,77,0.19
2,Boston Celtics,26.1,48,30,55,23,6.53,-0.34,6.19,113.5,106.8,6.7,96.5,0.242,0.421,0.574,0.536,12.4,24,0.198,0.501,12.5,77.4,0.183
3,Memphis Grizzlies,24,55,23,53,25,6.24,-0.51,5.73,114.8,108.6,6.2,100.2,0.245,0.345,0.553,0.522,11.2,30.2,0.18,0.521,13.2,78,0.192
4,Utah Jazz,29.3,46,32,52,26,5.49,-0.31,5.17,116.6,111,5.6,97.1,0.264,0.47,0.59,0.557,12.7,25,0.203,0.523,10.9,78.1,0.164
5,Golden State Warriors,27.6,49,29,51,27,5.03,0.11,5.14,112.2,107.1,5.1,98.5,0.236,0.459,0.58,0.549,13.5,22.8,0.181,0.511,13.1,78.6,0.199
6,Miami Heat,28.2,50,28,50,28,4.37,-0.19,4.18,113.2,108.7,4.5,95.8,0.25,0.42,0.581,0.543,13.4,23.6,0.203,0.522,13.8,78,0.209
7,Milwaukee Bucks,28.5,48,29,46,31,3.14,-0.21,2.93,114.8,111.6,3.2,99.8,0.257,0.433,0.58,0.546,12,23.1,0.199,0.535,11.5,78.5,0.164
8,Minnesota Timberwolves,24.2,44,34,46,32,2.88,0.02,2.91,114.1,111.2,2.9,100.7,0.252,0.454,0.571,0.537,12.5,24.6,0.197,0.532,14.2,75,0.227
9,Denver Nuggets,27.7,46,32,45,33,2.42,-0.14,2.29,114.4,111.9,2.5,97.6,0.242,0.417,0.589,0.555,13.2,22,0.192,0.537,11.7,78.2,0.186
10,Toronto Raptors,24.7,45,32,45,32,2.43,0.07,2.5,112.8,110.3,2.5,95.9,0.232,0.374,0.543,0.511,11,28.4,0.175,0.532,14.4,75.4,0.2
11,Philadelphia 76ers,26.8,47,30,44,33,2.35,0.04,2.39,112.9,110.4,2.5,96.1,0.279,0.375,0.575,0.531,11.5,19.8,0.229,0.522,12,77,0.189
12,Dallas Mavericks,26.7,48,30,45,33,2.4,-0.01,2.39,111.9,109.4,2.5,95.3,0.244,0.437,0.566,0.533,11.6,21.3,0.187,0.522,12.3,77.8,0.183
13,Cleveland Cavaliers,24.7,43,35,45,33,2.26,-0.07,2.18,111.5,109.1,2.4,96.1,0.26,0.387,0.569,0.536,13.4,24.1,0.198,0.519,12.4,76.5,0.168
14,Atlanta Hawks,26.1,41,37,42,36,1.42,0.04,1.46,116.3,114.9,1.4,97.7,0.255,0.389,0.58,0.542,10.8,22.9,0.207,0.543,11.6,76.8,0.177
15,Chicago Bulls,26.3,45,33,40,38,0.31,-0.18,0.13,113.4,113,0.4,98.3,0.247,0.334,0.579,0.541,11.6,20.2,0.201,0.537,11.9,78.3,0.2
16,Brooklyn Nets,29.2,40,38,40,38,0.26,0.16,0.42,113.2,112.9,0.3,99.1,0.245,0.358,0.574,0.538,12.5,23.6,0.196,0.522,11.8,75.1,0.202
17,Charlotte Hornets,25.5,40,38,39,39,0.08,0.16,0.23,113.6,113.5,0.1,100,0.236,0.418,0.568,0.54,11.5,23.3,0.174,0.543,13.1,74.7,0.187
18,San Antonio Spurs,24.6,32,45,38,39,-0.1,-0.13,-0.24,112.3,112.4,-0.1,100.1,0.214,0.344,0.555,0.527,11.2,24.1,0.161,0.533,12.1,74.9,0.174
19,New Orleans Pelicans,25.6,34,43,37,40,-0.79,0.18,-0.61,111.6,112.4,-0.8,97.3,0.262,0.366,0.557,0.518,12.6,26.3,0.207,0.541,12.8,78.2,0.199
20,New York Knicks,26.1,34,44,37,41,-0.78,0.21,-0.57,110.3,111.1,-0.8,95.9,0.282,0.426,0.549,0.512,12.1,25.1,0.21,0.523,11.6,78.6,0.2
21,Los Angeles Clippers,27.5,38,40,36,42,-1.15,0.21,-0.95,109.4,110.6,-1.2,98,0.223,0.388,0.561,0.528,12.5,20.4,0.177,0.517,12.1,74.4,0.169
22,Washington Wizards,26,34,43,32,45,-2.6,-0.02,-2.62,111.2,113.9,-2.7,96.9,0.255,0.359,0.568,0.531,12,21,0.201,0.524,10.8,76.7,0.206
23,Los Angeles Lakers,30.4,31,46,31,46,-3.06,-0.13,-3.2,110,113,-3,99.9,0.25,0.39,0.565,0.537,12.9,21.3,0.182,0.538,12.3,75.5,0.193
24,Indiana Pacers,26.1,25,53,31,47,-3.22,0.23,-2.99,112.3,115.6,-3.3,97.8,0.238,0.395,0.562,0.53,12.7,25.4,0.182,0.548,11.8,76.2,0.204
25,Sacramento Kings,25.8,29,49,27,51,-5.17,0.06,-5.11,110.1,115.2,-5.1,99.9,0.262,0.377,0.561,0.525,12.5,21.8,0.201,0.55,11.9,76.1,0.177
26,Detroit Pistons,23.6,22,56,22,56,-7.4,0.3,-7.1,105.8,113.3,-7.5,98.3,0.246,0.388,0.532,0.494,12.6,23.4,0.192,0.54,13.2,75.7,0.227
27,Oklahoma City Thunder,22.4,22,55,21,56,-7.58,0.2,-7.39,104.6,112.3,-7.7,98.7,0.225,0.422,0.53,0.497,12.5,21.7,0.171,0.531,11.8,76.1,0.166
28,Portland Trail Blazers,25.8,27,50,21,56,-7.65,0.32,-7.33,108.9,116.6,-7.7,98.4,0.253,0.422,0.552,0.518,12.8,23.5,0.192,0.559,12.6,77.6,0.219
29,Orlando Magic,23.3,20,58,21,57,-7.92,0.26,-7.67,104.3,112.2,-7.9,99.2,0.225,0.412,0.537,0.501,13.1,20.1,0.178,0.531,11.8,77.2,0.197
30,Houston Rockets,24.2,20,58,20,58,-8.42,0.16,-8.26,108,116.3,-8.3,100.8,0.284,0.448,0.563,0.532,14.5,21.6,0.203,0.552,12.3,74.5,0.204